type,value,count,mean,std
hbond_residue,0.008,3,2.5933333333333333,0.7062262778710203
hbond_residue,0.009,7,2.4557142857142855,0.6329264715331053
hbond_residue,0.011,1,1.3,0.0
hbond_residue,0.012,4,2.7750000000000004,0.414578098794425
hbond_residue,0.013,26,2.5219230769230774,0.5140638932958942
hbond_residue,0.014,10,2.71,0.5902541825349482
hbond_residue,0.015,5,1.848,0.7128926987983535
hbond_residue,0.016,10,2.496,0.5443197589652612
hbond_residue,0.017,17,2.411176470588235,0.6826753802067894
hbond_residue,0.018,27,2.5922222222222224,0.641210275404216
hbond_residue,0.019,21,2.4357142857142855,0.7312453267482509
hbond_residue,0.02,24,2.535416666666667,0.464488779615707
hbond_residue,0.021,25,2.5332,0.5908415692890946
hbond_residue,0.022,36,2.3780555555555556,0.6158274444664062
hbond_residue,0.023,34,2.385588235294118,0.6684186394084553
hbond_residue,0.024,50,2.3634,0.6846856504995559
hbond_residue,0.025,59,2.584915254237288,0.47695138110377644
hbond_residue,0.026,72,2.377638888888889,0.6409140457527903
hbond_residue,0.027,73,2.623698630136986,0.5938209380246537
hbond_residue,0.028,54,2.434259259259259,0.6892389841187749
hbond_residue,0.029,96,2.5964583333333335,0.5562560470957197
hbond_residue,0.03,86,2.261976744186047,0.6120834032077841
hbond_residue,0.031,119,2.485546218487395,0.5465994146838788
hbond_residue,0.032,91,2.3813186813186813,0.6633799713243571
hbond_residue,0.033,111,2.388108108108108,0.5314479854939803
hbond_residue,0.034,122,2.3920491803278687,0.6110873653358402
hbond_residue,0.035,140,2.281714285714285,0.5242367824577293
hbond_residue,0.036,108,2.206666666666667,0.5203097368128163
hbond_residue,0.037,121,2.337603305785124,0.5640248291724009
hbond_residue,0.038,130,2.271230769230769,0.6151347762071401
hbond_residue,0.039,114,2.344561403508772,0.5265647364457723
hbond_residue,0.04,159,2.21062893081761,0.5589857003994451
hbond_residue,0.041,191,2.205130890052356,0.49965523049392846
hbond_residue,0.042,177,2.2089830508474577,0.5373413151603578
hbond_residue,0.043,212,2.1922169811320753,0.5636884008887773
hbond_residue,0.044,219,2.1875342465753427,0.5049176816724963
hbond_residue,0.045,246,2.253252032520325,0.5692014031014125
hbond_residue,0.046,238,2.20109243697479,0.49483260885185887
hbond_residue,0.047,307,2.1325081433224757,0.42653046421606317
hbond_residue,0.048,322,2.1809316770186333,0.518359573564416
hbond_residue,0.049,323,2.1632507739938083,0.50840577236344
hbond_residue,0.05,378,2.135925925925926,0.5168584537179384
hbond_residue,0.051,471,2.172208067940552,0.5207435962289547
hbond_residue,0.052,395,2.1629873417721517,0.5061272040457935
hbond_residue,0.053,441,2.140045351473923,0.4937445406408374
hbond_residue,0.054,487,2.1351745379876794,0.4947012044168485
hbond_residue,0.055,488,2.188893442622951,0.48501056786487384
hbond_residue,0.056,611,2.1855646481178397,0.4795058152257914
hbond_residue,0.057,606,2.165990099009901,0.4679090415765645
hbond_residue,0.058,679,2.194815905743741,0.4981987466324295
hbond_residue,0.059,659,2.1530804248861912,0.48101253653066856
hbond_residue,0.06,728,2.187032967032967,0.4971042398600128
hbond_residue,0.061,831,2.1265222623345363,0.4689846796742189
hbond_residue,0.062,972,2.167962962962963,0.4858870030142983
hbond_residue,0.063,724,2.1821685082872926,0.48717317340625915
hbond_residue,0.064,881,2.2062769580022703,0.49457854014792757
hbond_residue,0.065,918,2.1699019607843137,0.4970079223914872
hbond_residue,0.066,944,2.1867796610169488,0.49613421905280763
hbond_residue,0.067,1014,2.1619526627218937,0.49100943977537864
hbond_residue,0.068,999,2.1900100100100097,0.5113043438422284
hbond_residue,0.069,1032,2.130387596899225,0.47078818638036196
hbond_residue,0.07,1086,2.173609576427256,0.49826240475946987
hbond_residue,0.071,1282,2.1667082683307335,0.4968084637785721
hbond_residue,0.072,1015,2.1564926108374385,0.4983206415231667
hbond_residue,0.073,1133,2.1600970873786407,0.46749137020735265
hbond_residue,0.074,1178,2.1898132427843806,0.4980002104456539
hbond_residue,0.075,1108,2.1809476534296026,0.4937503872537886
hbond_residue,0.076,1253,2.1356424581005586,0.5142448168925975
hbond_residue,0.077,1264,2.1564240506329115,0.46276637617186267
hbond_residue,0.078,1231,2.169764419171406,0.49261568446042114
hbond_residue,0.079,1180,2.1704999999999997,0.4961596628273495
hbond_residue,0.08,1138,2.174033391915642,0.507559364558532
hbond_residue,0.081,1289,2.1690690457719164,0.5121594274966741
hbond_residue,0.082,1123,2.1761620658949243,0.49951263736992607
hbond_residue,0.083,1178,2.1797792869269945,0.4874685507374454
hbond_residue,0.084,984,2.1714227642276427,0.5012774414462795
hbond_residue,0.085,1375,2.1301309090909095,0.48264165245137275
hbond_residue,0.086,1160,2.1625603448275865,0.4932629708659138
hbond_residue,0.087,1138,2.159771528998242,0.4949201890155641
hbond_residue,0.088,1006,2.183747514910537,0.5010299252071366
hbond_residue,0.089,1100,2.1657272727272727,0.49651926464668944
hbond_residue,0.09,964,2.1501659751037345,0.46954685209378855
hbond_residue,0.091,1046,2.137112810707457,0.4916626887519918
hbond_residue,0.092,1063,2.1487111947318907,0.4907482090076317
hbond_residue,0.093,1087,2.086559337626495,0.47028513334427174
