PDB,ScopTree Search for Multi-domain proteins (alpha and beta)
1A0G,
1A31,
1A35,
1A36,
1A3G,
1A4E,
1A7C,
1AB4,
1AD2,
1ALQ,
1AMU,
1ANT,
1ARO,
1AS4,
1ATH,
1ATT,
1ATU,
1AWB,
1AXB,
1AZX,
1B3K,
1BA3,
1BGW,
1BGX,
1BJT,
1BK4,
1BLC,
1BLH,
1BLP,
1BLS,
1BQM,
1BQN,
1BR8,
1BSG,
1BT5,
1BTL,
1BUC,
1BUE,
1BUL,
1BY7,
1BZA,
1C0T,
1C0U,
1C1B,
1C1C,
1C2P,
1C3B,
1C5G,
1C8O,
1CC1,
1CEF,
1CEG,
1CEZ,
1CF9,
1CI8,
1CI9,
1CJS,
1CK3,
1CLQ,
1CNQ,
1CSJ,
1CY0,
1CY1,
1CY2,
1CY4,
1CY6,
1CY7,
1CY8,
1CY9,
1CYY,
1D0E,
1D1U,
1D3Y,
1D5A,
1D5S,
1D6M,
1D8Y,
1D9D,
1D9F,
1D9Q,
1DAA,
1DB2,
1DBZ,
1DCU,
1DD9,
1DDE,
1DGB,
1DGF,
1DGG,
1DGH,
1DJA,
1DJB,
1DJC,
1DK4,
1DLO,
1DPI,
1DQS,
1DTQ,
1DTT,
1DVM,
1DVN,
1DWU,
1DY6,
1DZG,
1DZH,
1.00E+03,
1.00E+04,
1.00E+05,
1E1D,
1.00E+25,
1E2U,
1E3D,
1E3U,
1E4D,
1.00E+93,
1E9V,
1ECL,
1ECR,
1EET,
1EGC,
1EGD,
1EGE,
1EI5,
1EJ9,
1EKF,
1EKP,
1EKV,
1EP4,
1EPU,
1EQN,
1ERM,
1ERO,
1ERQ,
1ES2,
1ES3,
1ES4,
1ES5,
1ESI,
1ESU,
1ET0,
1EWZ,
1EYI,
1EYJ,
1EYK,
1EZX,
1F0C,
1F4J,
1FBC,
1FBD,
1FBE,
1FBF,
1FBG,
1FBH,
1FBP,
1FCM,
1FCN,
1FCO,
1FJ6,
1FJ9,
1FK9,
1FKO,
1FKP,
1FOF,
1FOU,
1FPB,
1FPD,
1FPE,
1FPF,
1FPG,
1FPI,
1FPJ,
1FPK,
1FPL,
1FQG,
1FR1,
1FR6,
1FRF,
1FRP,
1FRV,
1FSA,
1FSW,
1FSY,
1FTA,
1FVF,
1FVH,
1G0H,
1G0I,
1G2W,
1G68,
1G6A,
1GA0,
1GA9,
1GCE,
1GG9,
1GGE,
1GGF,
1GGH,
1GGJ,
1GGK,
1GHI,
1GHM,
1GHP,
1GKU,
1GL9,
1GN9,
1GNL,
1GNT,
1GQE,
1GWE,
1GWF,
1GWH,
1GX5,
1GX6,
1H2A,
1H2R,
1H38,
1H5W,
1H5X,
1H6N,
1H7K,
1H8Y,
1H8Z,
1HAR,
1HBZ,
1HD8,
1HHS,
1HHT,
1HI0,
1HI1,
1HI8,
1HLE,
1HMV,
1HNI,
1HNV,
1HP7,
1HPZ,
1HQE,
