PDB,ScopTree Search for Designed proteins
1A3I,
1A3J,
1ABZ,
1AL1,
1BB1,
1BKV,
1BYZ,
1C94,
1CAG,
1CIS,
1COI,
1COS,
1D5Q,
1DJF,
1DN3,
1DNG,
1DZI,
1E0M,
1EBP,
1EC5,
1EI8,
1FME,
1FMH,
1FOZ,
1FSD,
1FSV,
1FUL,
1FUV,
1G0Y,
1G2D,
1G2F,
1G6U,
1G8X,
1G9W,
1GJE,
1GJF,
1GJG,
1HCW,
1HQJ,
1IC9,
1ICL,
1ICO,
1ID6,
1ID7,
1IHQ,
1IMW,
1IN2,
1IN3,
1ITT,
1J4M,
1JBF,
1JM0,
1JMB,
1JY4,
1JY6,
1JY9,
1K09,
1K43,
1K6F,
1KCN,
1KCO,
1KVF,
1KVG,
1KYC,
1L2Y,
1L4X,
1L6X,
1LB7,
1LE0,
1LE1,
1LE3,
1LIQ,
1LQ7,
1LT1,
1M02,
1M3W,
1MEY,
1MFT,
1MJ0,
1N09,
1N0A,
1N0C,
1N0D,
1N0Q,
1N0R,
1NA0,
1NA3,
1NAY,
1NVO,
1OQO,
1OQX,
1OVR,
1OVU,
1OVV,
1P68,
1PBZ,
1PEF,
1PSV,
1PYZ,
1Q7D,
1QP6,
1QS7,
1QSU,
1QTX,
1QUZ,
1QYS,
1RH4,
1RIJ,
1RIK,
1RIM,
1S9Z,
1SN9,
1SNA,
1SNE,
1SOC,
1SVX,
1T8J,
1TGG,
1TJB,
1TMZ,
1U0I,
1U2U,
1U7J,
1U7M,
1UAO,
1UW1,
1V4F,
1V6Q,
1V7H,
1VJQ,
1VL3,
1VRK,
1VRZ,
1Y47,
1YIW,
1YJ1,
1YMZ,
1YYL,
1YYM,
1ZDA,
1ZDB,
1ZDC,
1ZDD,
1ZNM,
2A3D,
2AB3,
2AB7,
2AVP,
2CW1,
2EE8,
2EL4,
2EL5,
2ELY,
2ELZ,
2EM1,
2EM2,
2EM3,
2EM6,
2EM8,
2EM9,
2EMA,
2EMC,
2EME,
2EMF,
2EMG,
2EMH,
2EMI,
2EMJ,
2EMK,
2EML,
2EMM,
2EMP,
2EMV,
2EMW,
2EMY,
2EMZ,
2EN0,
2EN1,
2EN2,
2EN3,
2EN4,
2EN6,
2EN7,
2EN9,
2ENE,
2ENF,
2ENH,
2ENT,
2EOE,
2EOF,
2EOG,
2EOH,
2EOJ,
2EOK,
2EOL,
2EON,
2EOO,
2EOP,
2EOQ,
2EOR,
2EOV,
2EOW,
2EOX,
2EOZ,
2EP0,
2EP1,
2EP2,
2EP3,
2EPU,
2EPV,
2EPW,
2EPX,
2EPZ,
2EQ0,
2EQ1,
2EQ2,
2EQ3,
2EQ4,
2EQW,
2FCM,
2FCN,
2FCQ,
2FCS,
2FO7,
2I13,
2I5Y,
2I60,
2JGO,
2JUA,
2JVC,
2JVF,
2JWZ,
2O6N,
2OP7,
2Q7F,
2QYJ,
2SOC,
2V5Q,
2VGX,
2VYI,
2YRH,
2YRJ,
2YSB,
2YSD,
2YSF,
2YSG,
2YSH,
2YSI,
2YSP,
2YSV,
2YTA,
2YTB,
2YTD,
2YTE,
2YTF,
2YTG,
2YTH,
2YTI,
2YTJ,
2YTK,
2YTM,
2YTN,
2YTO,
2YTP,
2YTQ,
2YTR,
2YTS,
2YTT,
2YU8,
2ZCB,
2ZGG,
3AL1,
3B7B,
3C5R,
3DBH,
3DBL,
3DEO,
3DEP,
3DQV,
4HB1,
