PDB,ScopTree Search for Membrane and cell surface proteins and peptides
1A0S,
1A0T,
1A87,
1A91,
1ACC,
1AF3,
1AF6,
1AIG,
1AIJ,
1AP9,
1AR1,
1AT9,
1BCC,
1BE3,
1BGY,
1BH3,
1BL8,
1BM1,
1BRD,
1BRR,
1BRX,
1BT9,
1BXL,
1BXW,
1BY3,
1BY5,
1C0V,
1C17,
1C3W,
1C8R,
1C8S,
1C99,
1CII,
1CIY,
1COL,
1CWQ,
1DDB,
1DDT,
1DLC,
1DS8,
1DV3,
1DV6,
1DX7,
1DXR,
1DZE,
1E0P,
1.00E+12,
1.00E+14,
1.00E+54,
1E6D,
1E7P,
1EHK,
1EK9,
1EYS,
1EZV,
1F0L,
1F16,
1F4Z,
1F50,
1F6G,
1F6N,
1F88,
1FBB,
1FBK,
1FCP,
1FEP,
1FFT,
1FI1,
1FNP,
1FNQ,
1FQY,
1FW2,
1FW3,
1FX8,
1G4Y,
1G5G,
1G5J,
1G5M,
1G90,
1GFM,
1GFN,
1GFO,
1GFP,
1GFQ,
1GJH,
1GU8,
1GUE,
1GZM,
1H2S,
1H68,
1H6I,
1H6S,
1HXT,
1HXU,
1HXX,
1HZX,
1I5P,
1I78,
1I9W,
1IH5,
1IJD,
1IJP,
1IKP,
1IKQ,
1ILD,
1ILZ,
1IM0,
1IW6,
1IW9,
1IWG,
1IWO,
1IXF,
1J4N,
1J95,
1JB0,
1JFP,
1JGJ,
1JGW,
1JGX,
1JGY,
1JGZ,
1JH0,
1JI6,
1JO5,
1JQ1,
1JQ2,
1JV6,
1JV7,
1JVM,
1K24,
1K3K,
1K4C,
1K4D,
1K6L,
1K6N,
1KB9,
1KBY,
1KF6,
1KFY,
1KG8,
1KG9,
1KGB,
1KJU,
1KKD,
1KME,
1KMO,
1KMP,
1KPK,
1KPL,
1KQF,
1KQG,
1KYO,
1KZU,
1L0L,
1L0M,
1L0N,
1L0V,
1L2P,
1L6T,
1L7V,
1L9B,
1L9H,
1L9J,
1LDA,
1LDF,
1LDI,
1LGH,
1LKF,
1LN6,
1LNQ,
1LSH,
1LXL,
1M0K,
1M0L,
1M0M,
1M3I,
1M3J,
1M3X,
1M56,
1M57,
1MAL,
1MAZ,
1MDT,
1MGY,
1MK3,
1MM4,
1MM5,
1MPF,
1MPM,
1MPN,
1MPO,
1MPQ,
1MPR,
1MPS,
1NEK,
1NEN,
1NKZ,
1NQE,
1NQF,
1NQG,
1NQH,
1NTK,
1NTM,
1NTZ,
1NU1,
1O0A,
1O0L,
1OAN,
1OCC,
1OCO,
1OCR,
1OCZ,
1OED,
1OGV,
1OH2,
1OHU,
1OK8,
1OKC,
1OKE,
1OPF,
1ORM,
1ORQ,
1ORS,
1OSM,
1OTS,
1OTT,
1OTU,
1OY6,
1OY8,
1OY9,
1OYD,
1OYE,
1P4T,
1P7B,
1P84,
1P8H,
1P8I,
1P8U,
1PCR,
1PFO,
1PHO,
1PNZ,
1PO0,
1PO3,
1PP9,
1PPJ,
1PQ0,
1PQ1,
1PRC,
1PRE,
1PRN,
1PSS,
1PST,
1PV6,
1PV7,
1PVL,
1PW4,
1PXR,
1PXS,
1PY6,
1Q16,
1Q59,
1Q5I,
1Q5J,
1Q90,
1Q9F,
1Q9G,
1QCR,
1QD5,
1QD6,
1QFF,
1QFG,
1QHJ,
1QJ8,
1QJ9,
1QJP,
1QJQ,
1QKC,
1QKO,
1QKP,
1QLB,
1QLE,
1QM8,
1QOV,
1R2C,
1R2D,
1R2E,
1R2G,
1R2H,
1R2I,
1R2N,
1R3I,
1R3J,
1R3K,
1R3L,
1R5S,
1R5Z,
1R84,
1RC2,
1RER,
1RG5,
1RGN,
1RH1,
1RH5,
1RHZ,
1RKL,
1RQK,
1RVJ,
1RWT,
1RY5,
1RZH,
1RZZ,
1S00,
1S51,
1S52,
1S53,
1S54,
1S5H,
1S8J,
1S8L,
1SG2,
1SGK,
1SIW,
1SLQ,
1SOR,
1SQB,
1SQP,
1SQQ,
1SQV,
